Kabupaten/Kota,Provinsi,Sambal jadi,"Bumbu maskan jadi/kemasan, bumbu racikan",Cabe merah,Cabe hijau,Cabe rawit,Tahun
Buton Selatan,Sulawesi Tenggara,69,159,170,6,160,2020
Kendari,Sulawesi Tenggara,83,225,191,27,916,2020
Baubau,Sulawesi Tenggara,113,154,107,12,677,2020
Boalemo,Gorontalo,4,228,14,,2503,2020
Gorontalo,Gorontalo,18,71,32,5,2439,2020
Pohuwato,Gorontalo,6,114,3,,2275,2020
Bone Bolango,Gorontalo,26,118,93,,2319,2020
Gorontalo Utara,Gorontalo,7,64,24,,2092,2020
Majene,Sulawesi Barat,122,210,1088,8,478,2020
Polewali Mandar,Sulawesi Barat,26,133,829,26,506,2020
Mamasa,Sulawesi Barat,2,45,76,40,514,2020
Mamuju,Sulawesi Barat,78,210,526,14,655,2020
Mamuju Utara,Sulawesi Barat,48,219,821,80,1335,2020
Mamuju Tengah,Sulawesi Barat,45,193,611,30,903,2020
Maluku Tenggara Barat,Maluku,55,50,846,33,676,2020
Maluku Tenggara,Maluku,69,37,155,3,925,2020
Maluku Tengah,Maluku,53,112,606,6,882,2020
Buru,Maluku,62,175,400,13,823,2020
Kepulauan Aru,Maluku,62,22,272,,946,2020
Seram Bagian Barat,Maluku,29,73,472,8,761,2020
Seram Bagian Timur,Maluku,35,154,476,15,1111,2020
Maluku Barat Daya,Maluku,41,140,193,16,927,2020
Buru Selatan,Maluku,45,58,514,47,863,2020
Ambon,Maluku,51,65,590,12,803,2020
Tual,Maluku,27,57,136,2,904,2020
Halmahera Barat,Maluku Utara,20,284,983,53,1203,2020
Halmahera Tengah,Maluku Utara,68,262,1124,30,1297,2020
Kepulauan Sula,Maluku Utara,8,210,667,16,717,2020
Halmahera Selatan,Maluku Utara,66,113,697,,1198,2020
Halmahera Utara,Maluku Utara,17,277,1129,32,968,2020
Halmahera Timur,Maluku Utara,19,303,638,51,1362,2020
Pulau Morotai,Maluku Utara,15,123,1251,66,1084,2020
Pulau Taliabu,Maluku Utara,28,244,516,29,1012,2020
Ternate,Maluku Utara,24,82,727,40,1339,2020
Tidore Kepulauan,Maluku Utara,30,122,688,,1281,2020
Fakfak,Papua Barat,100,171,675,40,1762,2020
Kaimana,Papua Barat,164,198,563,38,1798,2020
Teluk Wondama,Papua Barat,117,243,464,44,2029,2020
Teluk Bintuni,Papua Barat,93,187,498,29,1924,2020
Manokwari,Papua Barat,38,206,488,134,1557,2020
Sorong Selatan,Papua Barat,58,352,254,10,1400,2020
Sorong,Papua Barat,42,102,173,8,1251,2020
Raja Ampat,Papua Barat,139,376,605,49,1683,2020
Tambrauw,Papua Barat,6,119,49,19,1270,2020
Maybrat,Papua Barat,126,208,643,4,1459,2020
Manokwari Selatan,Papua Barat,29,182,370,62,1206,2020
Pegunungan Arfak,Papua Barat,45,139,204,2,999,2020
Merauke,Papua,79,369,239,35,1055,2020
Jayawijaya,Papua,16,310,1496,68,1597,2020
Jayapura,Papua,24,98,450,48,1095,2020
Nabire,Papua,165,497,480,167,2121,2020
Kepulauan Yapen,Papua,114,216,998,88,910,2020
Biak Numfor,Papua,73,272,757,72,1601,2020
Paniai,Papua,,41,68,,3334,2020
Puncak Jaya,Papua,23,597,2734,851,2445,2020
Mimika,Papua,87,443,501,22,1963,2020
Boven Digoel,Papua,190,128,345,8,1858,2020
Mappi,Papua,5,46,337,45,937,2020
Asmat,Papua,70,139,380,32,766,2020
Yahukimo,Papua,6,24,16,127,2038,2020
Pegunungan Bintang,Papua,104,59,149,67,1641,2020
Tolikara,Papua,101,109,911,172,2260,2020
Sarmi,Papua,54,32,622,12,1517,2020
Keerom,Papua,9,185,413,58,1223,2020
Waropen,Papua,80,177,701,22,1544,2020
Supiori,Papua,70,90,284,136,1551,2020
Mamberamo Raya,Papua,32,16,105,7,917,2020
Nduga,Papua,4,85,39,32,2702,2020
Lanny Jaya,Papua,3,1117,38,15,2617,2020
Mamberamo Tengah,Papua,5,9,290,10,1377,2020
Yalimo,Papua,115,,70,,2093,2020
Puncak,Jawa Barat,,,,,10074,2020
Dogiyai,Papua,11,209,156,,125,2020
Intan Jaya,Papua,,1,41,,3562,2020
Deiyai,Papua,130,72,3170,3048,1736,2020
Simeulue,Aceh,24,56,2675,123,1299,2021
Aceh Singkil,Aceh,5,122,3267,478,748,2021
Aceh Selatan,Aceh,4,41,3059,117,1696,2021
Aceh Tenggara,Aceh,6,120,2323,338,1148,2021
Aceh Timur,Aceh,4,76,1656,874,1199,2021
Aceh Tengah,Aceh,40,205,2998,1070,1750,2021
Aceh Barat,Aceh,58,267,2582,280,2071,2021
Aceh Besar,Aceh,19,147,2250,675,1078,2021
Pidie,Aceh,7,197,2130,690,711,2021
Bireuen,Aceh,8,166,2424,665,914,2021
Aceh Utara,Aceh,10,280,1703,709,1000,2021
Aceh Barat Daya,Aceh,0,27,2804,124,1652,2021
Gayo Lues,Aceh,38,135,3000,234,965,2021
Aceh Tamiang,Aceh,1,133,2169,657,1266,2021
Nagan Raya,Aceh,31,96,2718,293,2993,2021
Aceh Jaya,Aceh,12,61,2378,404,1508,2021
Bener Meriah,Aceh,21,261,2375,853,1294,2021
Pidie Jaya,Aceh,22,138,2688,723,930,2021
Banda Aceh,Aceh,138,368,2947,686,1039,2021
Sabang,Aceh,98,161,2867,656,1050,2021
Langsa,Aceh,82,254,2453,796,1166,2021
Lhokseumawe,Aceh,82,403,2857,775,1006,2021
Subulussalam,Aceh,4,60,2889,203,567,2021
Nias,Sumatera Utara,7,204,1218,151,1868,2021
Mandailing Natal,Sumatera Utara,3,118,4291,137,1064,2021
Tapanuli Selatan,Sumatera Utara,0,128,4591,127,702,2021
Tapanuli Tengah,Sumatera Utara,10,51,3527,53,332,2021
Tapanuli Utara,Sumatera Utara,7,147,2663,67,711,2021
Toba Samosir,Sumatera Utara,28,132,2555,67,734,2021
Labuhan Batu,Sumatera Utara,6,80,2597,363,1174,2021
Asahan,Sumatera Utara,28,90,2901,803,1476,2021
Simalungun,Sumatera Utara,15,81,2845,542,1381,2021
Dairi,Sumatera Utara,11,66,2034,70,1271,2021
Karo,Sumatera Utara,22,187,3077,382,1965,2021
Deli Serdang,Sumatera Utara,33,124,2667,433,1448,2021
Langkat,Sumatera Utara,16,78,2694,428,1630,2021
Nias Selatan,Sumatera Utara,7,233,1995,107,1508,2021
Humbang Hasundutan,Sumatera Utara,8,130,2497,39,748,2021
Pakpak Bharat,Sumatera Utara,4,50,1801,57,1077,2021
Samosir,Sumatera Utara,6,114,2154,69,1302,2021
Serdang Bedagai,Sumatera Utara,28,157,2942,583,1474,2021
Batu Bara,Sumatera Utara,12,96,3253,668,1034,2021
Padang Lawas Utara,Sumatera Utara,1,63,3255,148,806,2021
Padang Lawas,Sumatera Utara,1,146,3561,102,910,2021
Labuhan Batu Selatan,Sumatera Utara,8,122,3108,465,1718,2021
Labuhan Batu Utara,Sumatera Utara,54,117,2611,485,1600,2021
Nias Utara,Sumatera Utara,9,181,1193,386,1429,2021
Nias Barat,Sumatera Utara,23,120,1403,72,620,2021
Sibolga,Sumatera Utara,10,70,3907,52,139,2021
Tanjung Balai,Sumatera Utara,41,267,3028,410,428,2021
Pematang Siantar,Sumatera Utara,7,75,2670,379,724,2021
Tebing Tinggi,Sumatera Utara,61,228,3267,503,1122,2021
Medan,Sumatera Utara,137,260,2951,464,856,2021
Binjai,Sumatera Utara,83,70,3270,353,1476,2021
Padangsidimpuan,Sumatera Utara,12,155,3729,155,380,2021
Gunungsitoli,Sumatera Utara,6,100,1644,50,1840,2021
Kepulauan Mentawai,Sumatera Barat,59,276,4750,270,862,2021
Pesisir Selatan,Sumatera Barat,40,85,6605,303,345,2021
Solok,Sumatera Barat,0,154,7287,372,113,2021
Sijunjung,Sumatera Barat,10,94,4467,303,1516,2021
Tanah Datar,Sumatera Barat,24,160,5367,224,275,2021
Padang Pariaman,Sumatera Barat,44,71,5236,383,727,2021
Agam,Sumatera Barat,40,145,5848,377,343,2021
Lima Puluh Kota,Sumatera Barat,19,31,5499,213,518,2021
Pasaman,Sumatera Barat,4,93,4487,248,1187,2021
Solok Selatan,Sumatera Barat,23,109,6986,799,485,2021
Dharmasraya,Sumatera Barat,32,140,4995,679,1258,2021
Pasaman Barat,Sumatera Barat,16,45,3863,83,2161,2021
Padang,Sumatera Barat,160,110,6368,474,293,2021
Sawah Lunto,Sumatera Barat,107,168,5410,613,450,2021
Padang Panjang,Sumatera Barat,149,191,4947,502,74,2021
Bukittinggi,Sumatera Barat,150,557,4984,526,279,2021
Payakumbuh,Sumatera Barat,171,76,5290,500,224,2021
Pariaman,Sumatera Barat,96,70,4967,321,501,2021
Kuantan Singingi,Riau,84,220,4829,542,1639,2021
Indragiri Hulu,Riau,10,188,4085,627,1774,2021
Indragiri Hilir,Riau,108,163,2829,239,1500,2021
Pelalawan,Riau,45,196,3687,969,2446,2021
Siak,Riau,72,227,3708,344,1745,2021
Kampar,Riau,89,279,4644,449,2029,2021
Rokan Hulu,Riau,38,209,4420,389,2104,2021
Bengkalis,Riau,76,235,3642,382,1365,2021
Rokan Hilir,Riau,41,190,2961,506,2146,2021
Kepulauan Meranti,Riau,44,151,2002,258,1414,2021
Pekanbaru,Riau,124,128,4843,433,892,2021
Dumai,Riau,131,167,3971,218,1568,2021
Kerinci,Jambi,,188,5975,346,177,2021
Merangin,Jambi,32,250,5174,121,2232,2021
Sarolangun,Jambi,30,160,3563,224,2212,2021
Batang Hari,Jambi,28,159,3442,153,1689,2021
Muaro Jambi,Jambi,19,286,4887,497,2638,2021
Tanjung Jabung Timur,Jambi,92,362,3892,239,2142,2021
Tanjung Jabung Barat,Jambi,19,195,2507,148,1925,2021
Tebo,Jambi,22,135,3619,230,2012,2021
Bungo,Jambi,19,179,4867,216,2113,2021
Jambi,Jambi,313,385,4533,369,1270,2021
Sungai Penuh,Jambi,29,263,6480,207,155,2021
Ogan Komering Ulu,Sumatera Selatan,20,349,1813,123,1898,2021
Ogan Komering Ilir,Sumatera Selatan,53,292,2163,486,2181,2021
Muara Enim,Sumatera Selatan,98,235,2799,332,1047,2021
Lahat,Sumatera Selatan,30,171,2919,214,1038,2021
Musi Rawas,Sumatera Selatan,45,154,2269,162,1787,2021
Musi Banyuasin,Sumatera Selatan,139,413,2468,399,1677,2021
Banyu Asin,Sumatera Selatan,120,475,2583,313,2357,2021
Ogan Komering Ulu Selatan,Sumatera Selatan,11,164,1525,201,2189,2021
Ogan Komering Ulu Timur,Sumatera Selatan,34,174,1125,239,2507,2021
Ogan Ilir,Sumatera Selatan,33,129,2325,212,1033,2021
Empat Lawang,Sumatera Selatan,24,191,1840,73,1149,2021
Penukal Abab Lematang Ilir,Sumatera Selatan,67,167,2646,437,1053,2021
Musi Rawas Utara,Sumatera Selatan,58,177,2947,94,1067,2021
Palembang,Sumatera Selatan,325,446,2309,189,755,2021
Prabumulih,Sumatera Selatan,54,183,1852,121,708,2021
Pagar Alam,Sumatera Selatan,56,329,2966,342,925,2021
Lubuklinggau,Sumatera Selatan,83,216,2250,158,1172,2021
Bengkulu Selatan,Bengkulu,25,265,4147,105,666,2021
Rejang Lebong,Bengkulu,12,139,3755,192,1613,2021
Bengkulu Utara,Bengkulu,42,188,3315,172,1474,2021
Kaur,Bengkulu,10,281,4143,49,1106,2021
Seluma,Bengkulu,7,93,3788,40,784,2021
Mukomuko,Bengkulu,22,318,4111,258,1626,2021
Lebong,Bengkulu,9,94,4840,310,1011,2021
Kepahiang,Bengkulu,5,82,2979,183,1916,2021
Bengkulu Tengah,Bengkulu,24,113,4132,74,1260,2021
Bengkulu,Bengkulu,109,218,3565,145,930,2021
Lampung Barat,Lampung,36,265,1039,96,3317,2021
Tanggamus,Lampung,9,187,1254,79,2772,2021
Lampung Selatan,Lampung,57,354,1753,199,3115,2021
Lampung Timur,Lampung,8,92,886,261,2704,2021
Lampung Tengah,Lampung,4,211,1067,237,2937,2021
Lampung Utara,Lampung,11,175,1560,254,2577,2021
Way Kanan,Lampung,15,250,1504,182,2833,2021
Tulangbawang,Lampung,7,133,1183,65,3235,2021
Pesawaran,Lampung,10,222,1403,303,2759,2021
Pringsewu,Lampung,27,102,1043,248,2618,2021
Mesuji,Lampung,26,191,811,198,3729,2021
Tulang Bawang Barat,Lampung,7,191,1377,84,2466,2021
Pesisir Barat,Lampung,18,488,2601,98,2391,2021
Bandar Lampung,Lampung,121,472,2556,344,1967,2021
Metro,Lampung,54,313,2106,255,2517,2021
Bangka,Kepulauan Bangka Belitung,208,236,2192,21,2857,2021
Belitung,Kepulauan Bangka Belitung,128,119,2812,113,3775,2021
Bangka Barat,Kepulauan Bangka Belitung,113,199,2726,126,3293,2021
Bangka Tengah,Kepulauan Bangka Belitung,117,173,2205,100,4007,2021
Bangka Selatan,Kepulauan Bangka Belitung,24,103,1995,79,4174,2021
Belitung Timur,Kepulauan Bangka Belitung,80,146,3209,97,4777,2021
Pangkal Pinang,Kepulauan Bangka Belitung,192,200,2126,91,3045,2021
Karimun,Kepulauan Riau,126,311,2194,456,1854,2021
Bintan,Kepulauan Riau,226,356,2934,823,2607,2021
Natuna,Kepulauan Riau,421,373,1507,239,2505,2021
Lingga,Kepulauan Riau,194,331,1020,114,2441,2021
Kepulauan Anambas,Kepulauan Riau,284,262,1696,387,4588,2021
Batam,Kepulauan Riau,298,389,3555,455,2093,2021
Tanjung Pinang,Kepulauan Riau,410,356,3426,721,2619,2021
Kep. Seribu,DKI Jakarta,98,215,3430,528,3943,2021
Jakarta Selatan,D.K.I. Jakarta,411,687,3008,250,2216,2021
Jakarta Timur,D.K.I. Jakarta,283,550,2625,424,1890,2021
Jakarta Pusat,D.K.I. Jakarta,201,736,3164,429,1738,2021
Jakarta Barat,D.K.I. Jakarta,233,503,2247,277,2143,2021
Jakarta Utara,D.K.I. Jakarta,205,501,2357,324,1973,2021
Bogor,Jawa Barat,128,530,1851,226,1582,2021
Sukabumi,Jawa Barat,25,413,640,169,1564,2021
Cianjur,Jawa Barat,75,316,375,130,1294,2021
Bandung,Jawa Barat,110,563,325,168,1233,2021
Garut,Jawa Barat,62,310,192,55,1308,2021
Tasikmalaya,Jawa Barat,24,455,248,112,1294,2021
Ciamis,Jawa Barat,29,297,361,164,1827,2021
Kuningan,Jawa Barat,66,428,938,274,1509,2021
Cirebon,Jawa Barat,85,465,827,254,1053,2021
Majalengka,Jawa Barat,40,350,575,183,1411,2021
Sumedang,Jawa Barat,84,350,337,130,1246,2021
Indramayu,Jawa Barat,141,657,1012,254,1512,2021
Subang,Jawa Barat,83,484,745,181,1536,2021
Purwakarta,Jawa Barat,93,539,767,100,1490,2021
Karawang,Jawa Barat,149,429,1168,302,1856,2021
Bekasi,Jawa Barat,159,552,2565,388,2388,2021
Bandung Barat,Jawa Barat,62,545,234,61,1153,2021
Pangandaran,Jawa Barat,39,331,272,278,3186,2021
Depok,Jawa Barat,300,640,2934,237,2165,2021
Cimahi,Jawa Barat,286,640,949,234,1226,2021
Banjar,Jawa Barat,32,256,431,339,1925,2021
Cilacap,Jawa Tengah,45,179,611,278,3037,2021
Banyumas,Jawa Tengah,38,151,982,249,2105,2021
Purbalingga,Jawa Tengah,18,112,1016,398,1403,2021
Banjarnegara,Jawa Tengah,31,279,675,344,1401,2021
Kebumen,Jawa Tengah,25,106,708,171,2868,2021
Purworejo,Jawa Tengah,41,123,662,63,2269,2021
Wonosobo,Jawa Tengah,29,189,524,395,1872,2021
Magelang,Jawa Tengah,19,89,552,183,2103,2021
Boyolali,Jawa Tengah,17,167,454,120,2131,2021
Klaten,Jawa Tengah,55,181,926,178,2121,2021
Sukoharjo,Jawa Tengah,58,264,852,309,1626,2021
Wonogiri,Jawa Tengah,10,145,866,654,3114,2021
Karanganyar,Jawa Tengah,48,221,883,364,2140,2021
Sragen,Jawa Tengah,23,209,1225,391,2265,2021
Grobogan,Jawa Tengah,9,186,929,255,1655,2021
Blora,Jawa Tengah,19,187,1294,277,1737,2021
Rembang,Jawa Tengah,33,197,1404,327,1688,2021
Pati,Jawa Tengah,12,205,1370,182,1217,2021
Kudus,Jawa Tengah,9,156,1369,115,944,2021
Jepara,Jawa Tengah,11,197,973,299,999,2021
Demak,Jawa Tengah,25,224,1680,226,1384,2021
Semarang,Jawa Tengah,17,191,1018,115,2103,2021
Temanggung,Jawa Tengah,27,194,642,509,1501,2021
Kendal,Jawa Tengah,45,195,925,254,1832,2021
Batang,Jawa Tengah,8,239,1126,179,1662,2021
Pekalongan,Jawa Tengah,44,276,883,222,1448,2021
Pemalang,Jawa Tengah,50,245,929,196,1489,2021
Tegal,Jawa Tengah,101,268,1568,251,1708,2021
Brebes,Jawa Tengah,51,209,776,143,1452,2021
Surakarta,Jawa Tengah,116,174,985,222,1786,2021
Salatiga,Jawa Tengah,75,210,951,83,1613,2021
Kulon Progo,D.I. Yogyakarta,23,70,589,156,979,2021
Bantul,D.I. Yogyakarta,87,167,800,207,1775,2021
Gunung Kidul,D.I. Yogyakarta,18,164,469,461,2945,2021
Sleman,D.I. Yogyakarta,125,236,977,211,1892,2021
Yogyakarta,D.I. Yogyakarta,171,222,947,269,1351,2021
Pacitan,Jawa Timur,3,210,208,209,3039,2021
Ponorogo,Jawa Timur,54,93,291,110,3162,2021
Trenggalek,Jawa Timur,17,168,151,356,3609,2021
Tulungagung,Jawa Timur,40,126,427,102,4393,2021
Blitar,Jawa Timur,71,162,296,98,3561,2021
Kediri,Jawa Timur,67,184,500,57,3670,2021
Malang,Jawa Timur,24,278,334,33,2771,2021
Lumajang,Jawa Timur,25,164,385,73,1906,2021
Jember,Jawa Timur,23,198,254,273,2142,2021
Banyuwangi,Jawa Timur,35,238,542,54,4553,2021
Bondowoso,Jawa Timur,16,222,334,208,1604,2021
Situbondo,Jawa Timur,25,210,304,29,1906,2021
Probolinggo,Jawa Timur,5,237,185,29,1831,2021
Pasuruan,Jawa Timur,45,264,810,42,2259,2021
Sidoarjo,Jawa Timur,176,723,968,152,2384,2021
Mojokerto,Jawa Timur,21,330,645,96,3040,2021
Jombang,Jawa Timur,41,256,499,109,3114,2021
Nganjuk,Jawa Timur,85,166,494,137,4495,2021
Madiun,Jawa Timur,70,196,551,287,3235,2021
Magetan,Jawa Timur,39,192,697,197,3023,2021
Ngawi,Jawa Timur,36,287,963,442,2313,2021
Bojonegoro,Jawa Timur,7,76,960,894,1962,2021
Tuban,Jawa Timur,8,144,1021,228,2635,2021
Lamongan,Jawa Timur,35,117,754,243,3235,2021
Gresik,Jawa Timur,65,378,845,120,3194,2021
Bangkalan,Jawa Timur,22,241,648,94,1846,2021
Sampang,Jawa Timur,29,159,315,19,1812,2021
Pamekasan,Jawa Timur,33,133,261,31,1249,2021
Sumenep,Jawa Timur,43,387,587,154,1547,2021
Surabaya,Jawa Timur,194,620,1320,177,2543,2021
Batu,Jawa Timur,78,445,570,49,3124,2021
Pandeglang,Banten,37,358,730,113,1411,2021
Lebak,Banten,39,509,827,148,1701,2021
Tangerang,Banten,85,570,2149,310,2043,2021
Serang,Banten,44,337,1653,177,1681,2021
Cilegon,Banten,221,587,2432,301,2335,2021
Tangerang Selatan,Banten,196,737,3539,500,2346,2021
Jembrana,Bali,53,113,725,188,2813,2021
Tabanan,Bali,69,643,1117,261,2529,2021
Badung,Bali,169,779,1405,139,2563,2021
Gianyar,Bali,50,243,678,540,2773,2021
Klungkung,Bali,18,78,1550,429,1852,2021
Bangli,Bali,63,145,373,268,3397,2021
Karangasem,Bali,14,46,435,203,3391,2021
Buleleng,Bali,17,77,689,151,3169,2021
Denpasar,Bali,143,861,987,74,3009,2021
Lombok Barat,Nusa Tenggara Barat,25,197,564,107,3866,2021
Lombok Tengah,Nusa Tenggara Barat,18,222,154,129,3906,2021
Lombok Timur,Nusa Tenggara Barat,39,389,638,276,6006,2021
Sumbawa,Nusa Tenggara Barat,32,393,448,79,2571,2021
Dompu,Nusa Tenggara Barat,67,221,329,42,1142,2021
Bima,Nusa Tenggara Barat,42,283,329,14,912,2021
Sumbawa Barat,Nusa Tenggara Barat,108,263,809,141,3136,2021
Lombok Utara,Nusa Tenggara Barat,3,238,196,47,3609,2021
Mataram,Nusa Tenggara Barat,106,366,965,190,3024,2021
Sumba Barat,Nusa Tenggara Timur,6,12,147,72,1538,2021
Sumba Timur,Nusa Tenggara Timur,2,50,88,14,1236,2021
Kupang,Nusa Tenggara Timur,5,30,47,25,975,2021
Timor Tengah Selatan,Nusa Tenggara Timur,10,62,197,42,901,2021
Timor Tengah Utara,Nusa Tenggara Timur,,26,118,,1022,2021
Belu,Nusa Tenggara Timur,13,112,599,32,367,2021
Alor,Nusa Tenggara Timur,31,42,166,125,743,2021
Lembata,Nusa Tenggara Timur,16,129,91,49,251,2021
Flores Timur,Nusa Tenggara Timur,21,87,126,13,380,2021
Sikka,Nusa Tenggara Timur,3,61,64,16,516,2021
Ende,Nusa Tenggara Timur,29,58,393,10,1469,2021
Ngada,Nusa Tenggara Timur,11,35,258,32,1404,2021
Manggarai,Nusa Tenggara Timur,18,108,119,49,580,2021
Rote Ndao,Nusa Tenggara Timur,,72,75,15,707,2021
Manggarai Barat,Nusa Tenggara Timur,32,138,217,12,412,2021
Sumba Tengah,Nusa Tenggara Timur,7,115,191,40,1649,2021
Sumba Barat Daya,Nusa Tenggara Timur,0,46,110,118,1179,2021
Nagekeo,Nusa Tenggara Timur,7,26,305,58,890,2021
Manggarai Timur,Nusa Tenggara Timur,1,47,77,26,369,2021
Sabu Raijua,Nusa Tenggara Timur,11,136,93,42,1565,2021
Malaka,Nusa Tenggara Timur,2,114,128,51,678,2021
Sambas,Kalimantan Barat,32,313,834,129,993,2021
Bengkayang,Kalimantan Barat,23,374,150,122,2043,2021
Landak,Kalimantan Barat,29,208,90,53,1613,2021
Mempawah,Kalimantan Barat,82,274,213,66,1197,2021
Sanggau,Kalimantan Barat,42,318,246,78,2588,2021
Ketapang,Kalimantan Barat,35,221,949,82,2949,2021
Sintang,Kalimantan Barat,51,271,518,134,2313,2021
Kapuas Hulu,Kalimantan Barat,81,450,271,18,1237,2021
Sekadau,Kalimantan Barat,77,392,698,157,1156,2021
Melawi,Kalimantan Barat,13,317,337,404,4119,2021
Kayong Utara,Kalimantan Barat,28,253,428,121,2561,2021
Kubu Raya,Kalimantan Barat,50,308,480,68,1840,2021
Pontianak,Kalimantan Barat,223,658,348,97,2019,2021
Singkawang,Kalimantan Barat,184,312,493,304,1654,2021
Kotawaringin Barat,Kalimantan Tengah,63,285,503,252,5314,2021
Kotawaringin Timur,Kalimantan Tengah,60,529,184,80,4297,2021
Kapuas,Kalimantan Tengah,65,360,304,109,1443,2021
Barito Selatan,Kalimantan Tengah,134,742,282,199,1135,2021
Barito Utara,Kalimantan Tengah,76,623,119,54,1698,2021
Sukamara,Kalimantan Tengah,100,366,839,330,4583,2021
Lamandau,Kalimantan Tengah,28,167,526,104,5930,2021
Seruyan,Kalimantan Tengah,75,516,1406,150,4059,2021
Katingan,Kalimantan Tengah,49,569,698,92,3530,2021
Pulang Pisau,Kalimantan Tengah,52,413,427,33,3443,2021
Gunung Mas,Kalimantan Tengah,40,257,207,43,2897,2021
Barito Timur,Kalimantan Tengah,78,456,116,31,1631,2021
Murung Raya,Kalimantan Tengah,216,431,174,44,1631,2021
Palangka Raya,Kalimantan Tengah,86,645,654,202,3219,2021
Tanah Laut,Kalimantan Selatan,48,416,139,112,1723,2021
Kotabaru,Kalimantan Selatan,154,219,219,65,1804,2021
Barito Kuala,Kalimantan Selatan,66,374,284,243,999,2021
Tapin,Kalimantan Selatan,71,275,476,342,1765,2021
Hulu Sungai Selatan,Kalimantan Selatan,61,283,419,339,905,2021
Hulu Sungai Tengah,Kalimantan Selatan,51,360,256,162,845,2021
Hulu Sungai Utara,Kalimantan Selatan,54,297,325,225,868,2021
Tabalong,Kalimantan Selatan,58,323,290,159,1296,2021
Tanah Bumbu,Kalimantan Selatan,21,467,376,131,2117,2021
Balangan,Kalimantan Selatan,39,301,129,88,908,2021
Banjarmasin,Kalimantan Selatan,180,862,744,412,1225,2021
Banjar Baru,Kalimantan Selatan,199,565,678,360,1911,2021
Paser,Kalimantan Timur,68,396,831,171,2491,2021
Kutai Barat,Kalimantan Timur,93,428,146,29,1892,2021
Kutai Kartanegara,Kalimantan Timur,98,448,574,121,2786,2021
Kutai Timur,Kalimantan Timur,89,573,947,119,3585,2021
Berau,Kalimantan Timur,276,211,957,113,3057,2021
Penajam Paser Utara,Kalimantan Timur,57,487,286,42,3506,2021
Mahakam Ulu,Kalimantan Timur,45,310,429,43,2155,2021
Balikpapan,Kalimantan Timur,172,723,402,66,2950,2021
Samarinda,Kalimantan Timur,160,528,652,171,1961,2021
Bontang,Kalimantan Timur,151,354,526,86,3308,2021
Malinau,Kalimantan Utara,35,236,331,73,2703,2021
Bulungan,Kalimantan Utara,127,353,298,113,3372,2021
Tana Tidung,Kalimantan Utara,84,253,831,55,2941,2021
Nunukan,Kalimantan Utara,71,472,565,39,1654,2021
Tarakan,Kalimantan Utara,160,189,416,76,2599,2021
Bolaang Mongondow,Sulawesi Utara,5,196,451,60,4811,2021
Minahasa,Sulawesi Utara,46,53,81,44,4196,2021
Kepulauan Sangihe,Sulawesi Utara,33,258,126,1,2579,2021
Kepulauan Talaud,Sulawesi Utara,8,213,221,,4440,2021
Minahasa Selatan,Sulawesi Utara,9,208,713,91,4141,2021
Minahasa Utara,Sulawesi Utara,59,194,990,9,4200,2021
Bolaang Mongondow Utara,Sulawesi Utara,32,240,119,63,4082,2021
Siau Tagulandang Biaro,Sulawesi Utara,6,140,184,55,3698,2021
Minahasa Tenggara,Sulawesi Utara,16,162,545,6,3910,2021
Bolaang Mongondow Selatan,Sulawesi Utara,2,374,160,6,4133,2021
Bolaang Mongondow Timur,Sulawesi Utara,21,146,438,26,3926,2021
Manado,Sulawesi Utara,164,308,558,31,3972,2021
Bitung,Sulawesi Utara,79,290,629,24,4159,2021
Tomohon,Sulawesi Utara,48,141,390,50,3717,2021
Kotamobagu,Sulawesi Utara,24,152,317,8,3855,2021
Banggai Kepulauan,Sulawesi Tengah,10,152,122,15,1351,2021
Banggai,Sulawesi Tengah,11,149,625,21,1756,2021
Morowali,Sulawesi Tengah,187,371,693,73,3062,2021
Poso,Sulawesi Tengah,20,307,27,42,2554,2021
Donggala,Sulawesi Tengah,31,228,505,83,1898,2021
Toli-Toli,Sulawesi Tengah,24,246,406,17,1335,2021
Buol,Sulawesi Tengah,11,85,620,17,1681,2021
Parigi Moutong,Sulawesi Tengah,22,128,309,13,2574,2021
Tojo Una-Una,Sulawesi Tengah,32,228,131,72,2026,2021
Sigi,Sulawesi Tengah,13,187,654,114,3186,2021
Banggai Laut,Sulawesi Tengah,53,283,583,7,1585,2021
Morowali Utara,Sulawesi Tengah,90,254,543,49,2284,2021
Palu,Sulawesi Tengah,65,218,819,48,2460,2021
Kepulauan Selayar,Sulawesi Selatan,236,159,322,18,355,2021
Bulukumba,Sulawesi Selatan,23,127,245,25,557,2021
Bantaeng,Sulawesi Selatan,123,226,137,9,632,2021
Jeneponto,Sulawesi Selatan,70,164,231,6,425,2021
Takalar,Sulawesi Selatan,121,213,114,6,544,2021
Gowa,Sulawesi Selatan,82,333,442,25,759,2021
Sinjai,Sulawesi Selatan,161,199,614,45,735,2021
Maros,Sulawesi Selatan,134,276,166,11,769,2021
Pangkajene dan Kepulauan,Sulawesi Selatan,206,282,398,12,719,2021
Barru,Sulawesi Selatan,62,270,228,19,741,2021
Bone,Sulawesi Selatan,120,232,271,19,587,2021
Soppeng,Sulawesi Selatan,133,217,597,52,737,2021
Wajo,Sulawesi Selatan,105,188,707,38,1128,2021
Sidenreng Rappang,Sulawesi Selatan,86,254,561,27,1318,2021
