Kabupaten/Kota,Provinsi,Sambal jadi,"Bumbu maskan jadi/kemasan, bumbu racikan",Cabe merah,Cabe hijau,Cabe rawit,Tahun
Mamuju,Sulawesi Barat,42,152,530,19,632,2018
Mamuju Utara,Sulawesi Barat,43,215,855,1,1344,2018
Mamuju Tengah,Sulawesi Barat,29,98,346,24,798,2018
Maluku Tenggara Barat,Maluku,13,111,335,45,783,2018
Maluku Tenggara,Maluku,53,53,70,4,1221,2018
Maluku Tengah,Maluku,24,44,357,57,835,2018
Buru,Maluku,54,281,715,36,1209,2018
Kepulauan Aru,Maluku,49,95,72,27,1397,2018
Seram Bagian Barat,Maluku,12,86,331,3,620,2018
Seram Bagian Timur,Maluku,43,161,662,43,860,2018
Maluku Barat Daya,Maluku,108,99,189,17,798,2018
Buru Selatan,Maluku,10,28,355,24,704,2018
Ambon,Maluku,156,119,723,35,856,2018
Tual,Maluku,61,140,307,9,1077,2018
Halmahera Barat,Maluku Utara,7,30,1119,41,1262,2018
Halmahera Tengah,Maluku Utara,69,135,762,40,1115,2018
Kepulauan Sula,Maluku Utara,22,98,955,33,493,2018
Halmahera Selatan,Maluku Utara,71,161,528,25,1227,2018
Halmahera Utara,Maluku Utara,75,238,1151,116,1091,2018
Halmahera Timur,Maluku Utara,21,252,656,59,1015,2018
Pulau Morotai,Maluku Utara,12,91,1471,62,771,2018
Pulau Taliabu,Maluku Utara,53,428,232,11,1064,2018
Ternate,Maluku Utara,112,62,1045,32,1617,2018
Tidore Kepulauan,Maluku Utara,29,63,674,33,1054,2018
Fakfak,Papua Barat,39,178,208,22,1440,2018
Kaimana,Papua Barat,212,434,255,63,2265,2018
Teluk Wondama,Papua Barat,113,164,207,98,1484,2018
Teluk Bintuni,Papua Barat,187,246,257,119,1909,2018
Manokwari,Papua Barat,30,196,335,41,1226,2018
