Kabupaten/Kota,Sambal jadi,Tahun,Provinsi
Minahasa Utara,65,2018,Sulawesi Utara
Bolaang Mongondow Utara,11,2018,Sulawesi Utara
Siau Tagulandang Biaro,8,2018,Sulawesi Utara
Minahasa Tenggara,8,2018,Sulawesi Utara
Bolaang Mongondow Selatan,9,2018,Sulawesi Utara
Bolaang Mongondow Timur,11,2018,Sulawesi Utara
Manado,108,2018,Sulawesi Utara
Bitung,62,2018,Sulawesi Utara
Tomohon,29,2018,Sulawesi Utara
Kotamobagu,41,2018,Sulawesi Utara
Banggai Kepulauan,3,2018,Sulawesi Tengah
Banggai,42,2018,Sulawesi Tengah
Morowali,95,2018,Sulawesi Tengah
Poso,67,2018,Sulawesi Tengah
Donggala,17,2018,Sulawesi Tengah
Toli-Toli,32,2018,Sulawesi Tengah
Buol,9,2018,Sulawesi Tengah
Parigi Moutong,6,2018,Sulawesi Tengah
Tojo Una-Una,19,2018,Sulawesi Tengah
Sigi,20,2018,Sulawesi Tengah
Banggai Laut,78,2018,Sulawesi Tengah
Morowali Utara,20,2018,Sulawesi Tengah
Palu,75,2018,Sulawesi Tengah
Kepulauan Selayar,79,2018,Sulawesi Selatan
Bulukumba,90,2018,Sulawesi Selatan
Bantaeng,65,2018,Sulawesi Selatan
Jeneponto,61,2018,Sulawesi Selatan
Takalar,67,2018,Sulawesi Selatan
Gowa,80,2018,Sulawesi Selatan
Sinjai,67,2018,Sulawesi Selatan
Maros,105,2018,Sulawesi Selatan
Pangkajene dan Kepulauan,93,2018,Sulawesi Selatan
Barru,37,2018,Sulawesi Selatan
Bone,63,2018,Sulawesi Selatan
Soppeng,79,2018,Sulawesi Selatan
Wajo,93,2018,Sulawesi Selatan
Sidenreng Rappang,28,2018,Sulawesi Selatan
Pinrang,24,2018,Sulawesi Selatan
Enrekang,20,2018,Sulawesi Selatan
Luwu,70,2018,Sulawesi Selatan
Tana Toraja,3,2018,Sulawesi Selatan
Luwu Utara,31,2018,Sulawesi Selatan
